kodis-id,buyer or seller,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
2523,buyer,1,105,14.57,1,42.95,65.27,21,18.1,91.43,71.43,64.76,20.95,14.29,12.38,0,0,0.95,0.95,6.67,18.1,11.43,0.95,6.67,13.33,3.81,6.67,3.81,18.1,0,1.9,0.95,0,0,0.95,27.62,0,12.38,0,3.81,3.81,0.95,0,4.76,0,4.76,3.81,0.95,4.76,3.81,0.95,0,0,0,0,5.71,2.86,0,0,0.95,0,2.86,2.86,0,0,0,0.95,0.95,0,0,0.95,9.52,0,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,2.86,2.86,0,0,1.9,0.95,0,0,2.86,14.29,4.76,0,0.95,0.95,0,0,0,7.62,3.81,2.86,0.95,0,0,0,0
2523,buyer,1,121,9.47,1,67.76,31.61,15.13,15.7,93.39,72.73,64.46,22.31,13.22,10.74,0,1.65,0,0.83,9.09,19.01,9.92,2.48,5.79,14.05,3.31,6.61,3.31,19.83,1.65,2.48,0.83,0,0,0.83,26.45,0,10.74,0.83,2.48,2.48,1.65,0,4.96,0,4.13,2.48,1.65,3.31,2.48,0.83,0,0,0,0,4.96,2.48,0,0,0.83,0,2.48,2.48,0,0,0,0,0.83,0,0,0.83,9.09,0,0,4.13,4.96,0,0,0,0,0,0,0,0,0,0,0,0,4.13,2.48,0,0,0,0,0,4.13,4.13,0,0,3.31,0.83,0,0,3.31,13.22,4.96,1.65,0.83,0.83,0,0,0,9.92,5.79,3.31,0.83,0,0,0,0
2523,buyer,1,101,8.52,7.45,17.04,67.03,12.63,10.89,90.1,72.28,64.36,21.78,10.89,6.93,0,2.97,0,0.99,10.89,21.78,9.9,2.97,4.95,14.85,2.97,6.93,2.97,19.8,1.98,3.96,0,0,0,0,26.73,1.98,10.89,0.99,0,3.96,1.98,0,4.95,0.99,4.95,3.96,0.99,2.97,2.97,0,0,0,0,0,6.93,1.98,0.99,0.99,0,0,1.98,3.96,0,0,0,0,0.99,0,0,0.99,7.92,0,0,2.97,4.95,0,0,0,0,0,0,0,0,0,0,0,0,1.98,2.97,0,0,0,0,0,5.94,2.97,0,0,2.97,0,0,0,0.99,8.91,5.94,1.98,0,0,0,0,0,10.89,6.93,2.97,0.99,0,0,0,0
2523,buyer,1,152,4.6,14.81,52.19,29.06,15.2,13.16,91.45,73.03,63.82,23.68,11.84,7.24,0,4.61,0,0,11.84,20.39,7.89,1.97,5.26,13.16,2.63,10.53,1.97,18.42,4.61,2.63,0.66,0,0,0.66,25,1.97,14.47,3.29,0.66,2.63,4.61,0.66,6.58,0.66,4.61,2.63,1.97,1.97,1.97,0,0,0,0,0,9.21,3.29,0.66,0.66,0,1.32,1.97,5.92,0,0,0,0,0.66,0,0,0.66,7.24,0,0,2.63,4.61,0,0,0,0,0,0,0,0,0,0,0,0,1.32,1.97,0,0,0,0,0,7.89,2.63,0,1.32,1.97,0,0,0,0.66,3.95,6.58,1.97,0,0,0,0,0,12.5,6.58,4.61,0,0,0.66,0.66,0
2523,buyer,1,114,6.22,11.98,64.56,32.38,16.29,15.79,90.35,72.81,63.16,23.68,13.16,8.77,0,4.39,0,0,10.53,19.3,8.77,0,6.14,12.28,2.63,11.4,1.75,18.42,4.39,0.88,0.88,0,0,0.88,24.56,2.63,14.91,3.51,0.88,2.63,4.39,0.88,6.14,0.88,4.39,2.63,1.75,1.75,1.75,0,0,0,0,0,10.53,4.39,0.88,0.88,0,1.75,2.63,6.14,0,0,0,0,0.88,0,0,0.88,7.89,0,0,3.51,4.39,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,7.02,3.51,0,2.63,1.75,0,0,0,0,3.51,7.02,0.88,0,0,0,0,0,12.28,6.14,4.39,0,0,0.88,0.88,0
2523,seller,1,60,4.95,93.37,3.81,90.5,15,23.33,93.33,76.67,66.67,28.33,15,3.33,8.33,1.67,0,1.67,13.33,21.67,0,1.67,13.33,10,1.67,6.67,5,16.67,5,3.33,10,8.33,0,1.67,25,1.67,16.67,0,1.67,3.33,3.33,1.67,5,0,11.67,8.33,3.33,6.67,6.67,0,0,0,0,0,16.67,1.67,0,0,0,0,1.67,15,0,0,0,0,1.67,0,0,1.67,3.33,0,0,1.67,3.33,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,5,6.67,0,1.67,1.67,3.33,1.67,0,0,0,8.33,0,1.67,1.67,0,0,0,8.33,6.67,0,0,0,1.67,0,0
2523,seller,1,58,3,98.12,2.1,98.26,19.33,13.79,96.55,81.03,68.97,31.03,18.97,5.17,6.9,5.17,0,1.72,12.07,20.69,1.72,1.72,12.07,13.79,0,5.17,5.17,20.69,6.9,3.45,8.62,6.9,0,1.72,27.59,1.72,13.79,0,1.72,3.45,3.45,0,3.45,1.72,6.9,6.9,0,5.17,5.17,0,0,0,0,0,18.97,1.72,0,0,0,0,0,17.24,0,0,0,0,0,0,0,0,6.9,0,0,1.72,6.9,0,0,0,0,0,0,0,0,0,0,3.45,0,1.72,0,0,0,0,0,0,5.17,5.17,0,0,0,3.45,1.72,0,1.72,0,6.9,6.9,1.72,1.72,0,0,0,8.62,5.17,0,0,0,3.45,0,0
2523,seller,1,68,6.29,99,12.44,85.53,22.67,11.76,95.59,80.88,66.18,29.41,19.12,4.41,4.41,8.82,0,1.47,10.29,19.12,2.94,1.47,11.76,10.29,1.47,5.88,4.41,19.12,8.82,2.94,5.88,4.41,0,1.47,25,1.47,10.29,0,1.47,0,2.94,0,4.41,1.47,4.41,4.41,0,1.47,1.47,0,0,0,0,0,22.06,4.41,1.47,0,0,0,0,17.65,0,0,0,0,0,0,0,0,7.35,0,0,1.47,7.35,0,0,0,0,0,0,0,0,0,0,2.94,0,4.41,0,0,0,0,0,0,2.94,2.94,0,0,0,1.47,1.47,0,2.94,1.47,7.35,5.88,0,0,0,0,0,5.88,4.41,0,0,0,1.47,0,0
2523,seller,1,63,3.98,92.24,24.32,43.94,21,14.29,93.65,66.67,52.38,22.22,15.87,3.17,1.59,7.94,0,3.17,6.35,12.7,3.17,0,6.35,12.7,1.59,6.35,6.35,22.22,4.76,1.59,4.76,1.59,0,3.17,30.16,1.59,12.7,3.17,1.59,0,1.59,0,4.76,1.59,1.59,1.59,0,0,0,0,0,0,0,0,23.81,7.94,4.76,3.17,0,0,0,15.87,0,0,0,0,0,0,0,0,17.46,0,0,3.17,14.29,0,0,0,0,0,0,0,0,0,0,3.17,0,9.52,0,0,0,0,0,0,6.35,1.59,0,0,0,0,1.59,0,3.17,6.35,7.94,6.35,0,0,0,0,0,17.46,4.76,6.35,0,0,4.76,1.59,0
2525,buyer,1,83,22.54,1,99,37.57,9.22,19.28,92.77,75.9,60.24,19.28,15.66,13.25,0,2.41,0,0,3.61,15.66,9.64,0,8.43,10.84,7.23,6.02,1.2,19.28,8.43,2.41,3.61,0,1.2,2.41,28.92,0,21.69,6.02,1.2,6.02,1.2,1.2,6.02,0,8.43,4.82,3.61,3.61,2.41,1.2,0,0,0,0,8.43,4.82,1.2,2.41,0,1.2,1.2,3.61,1.2,0,0,1.2,0,0,0,0,4.82,0,0,2.41,2.41,0,1.2,1.2,1.2,0,0,0,0,0,0,1.2,1.2,6.02,0,0,0,0,0,0,8.43,7.23,0,2.41,6.02,0,0,0,3.61,3.61,4.82,0,0,0,0,0,0,14.46,10.84,2.41,0,0,0,1.2,0
